,2017rank,City,State[c],2017estimate,2010 Census,Change,2016 land area(sq m),2016 land area(sq km),2016 population density(per sq mi),2016 population density(per sq km),Location,City_urls,Elevation,Timezone
189,189,Miramar,Florida,140823,122041,+15.39%,29.4 sq mi,76.1 km2,"4,709/sq mi","1,818/km2",25°58′37″N 80°20′09″W﻿ / ﻿25.9770°N 80.3358°W,"https://en.wikipedia.org//wiki/Miramar,_Florida",9 ft (2 m),UTC-5 (EST)
190,190,Dayton,Ohio,140640,141527,−0.63%,55.7 sq mi,144.3 km2,"2,522/sq mi",974/km2,39°46′39″N 84°11′59″W﻿ / ﻿39.7774°N 84.1996°W,"https://en.wikipedia.org//wiki/Dayton,_Ohio",738 ft (225 m),UTC-5 (EST)
191,191,Fullerton,California,139640,135161,+3.31%,22.4 sq mi,58.0 km2,"6,282/sq mi","2,425/km2",33°53′09″N 117°55′41″W﻿ / ﻿33.8857°N 117.9280°W,"https://en.wikipedia.org//wiki/Fullerton,_California",164 ft (50 m),UTC-8 (PST)
192,192,Olathe,Kansas,139605,125872,+10.91%,60.9 sq mi,157.7 km2,"2,225/sq mi",859/km2,38°53′03″N 94°49′10″W﻿ / ﻿38.8843°N 94.8195°W,"https://en.wikipedia.org//wiki/Olathe,_Kansas","1,037 ft (316 m)",UTC-6 (CST)
193,193,Orange,California,139484,136416,+2.25%,25.4 sq mi,65.8 km2,"5,532/sq mi","2,136/km2",33°47′13″N 117°51′41″W﻿ / ﻿33.7870°N 117.8613°W,"https://en.wikipedia.org//wiki/Orange,_California",190 ft (58 m),UTC−08:00 (Pacific)
194,194,Thornton,Colorado,139436,118772,+17.40%,35.7 sq mi,92.5 km2,"3,829/sq mi","1,478/km2",39°55′10″N 104°56′34″W﻿ / ﻿39.9194°N 104.9428°W,"https://en.wikipedia.org//wiki/Thornton,_Colorado","5,351 ft (1,631 m)",UTC−7 (MST)
195,195,Roseville,California,139117,118788,+17.11%,43.0 sq mi,111.4 km2,"3,085/sq mi","1,191/km2",38°46′08″N 121°19′08″W﻿ / ﻿38.7690°N 121.3189°W,"https://en.wikipedia.org//wiki/Roseville,_California",164 ft (50 m),UTC−8 (Pacific)
196,196,Denton,Texas,138541,113383,+22.19%,93.4 sq mi,241.9 km2,"1,433/sq mi",553/km2,33°13′00″N 97°08′29″W﻿ / ﻿33.2166°N 97.1414°W,"https://en.wikipedia.org//wiki/Denton,_Texas",642 ft (195 m),UTC-6 (CST)
197,197,Waco,Texas,138183,124805,+10.72%,89.0 sq mi,230.5 km2,"1,510/sq mi",580/km2,31°33′36″N 97°11′10″W﻿ / ﻿31.5601°N 97.1860°W,"https://en.wikipedia.org//wiki/Waco,_Texas",470 ft (143.3 m),UTC−6 (Central)
198,198,Surprise,Arizona,138161,117517,+17.57%,107.9 sq mi,279.5 km2,"1,230/sq mi",470/km2,33°40′14″N 112°27′10″W﻿ / ﻿33.6706°N 112.4527°W,"https://en.wikipedia.org//wiki/Surprise,_Arizona","1,175 ft (358 m)",UTC-7 (MST (no DST))
199,199,Carrollton,Texas,136879,119097,+14.93%,36.3 sq mi,94.0 km2,"3,674/sq mi","1,419/km2",32°59′18″N 96°53′59″W﻿ / ﻿32.9884°N 96.8998°W,"https://en.wikipedia.org//wiki/Carrollton,_Texas",528 ft (161 m),UTC-6 (Central)
200,200,West Valley City,Utah,136401,129480,+5.35%,35.5 sq mi,91.9 km2,"3,847/sq mi","1,485/km2",40°41′19″N 112°00′42″W﻿ / ﻿40.6885°N 112.0118°W,"https://en.wikipedia.org//wiki/West_Valley_City,_Utah","4,304 ft (1,312 m)",UTC−7 (Mountain (MST))
201,201,Charleston,South Carolina,136208,120083,+13.43%,109.0 sq mi,282.3 km2,"1,233/sq mi",476/km2,32°49′04″N 79°57′32″W﻿ / ﻿32.8179°N 79.9590°W,"https://en.wikipedia.org//wiki/Charleston,_South_Carolina",20 ft (6 m),UTC-5 (EST)
202,202,Warren,Michigan,134587,134056,+0.40%,34.4 sq mi,89.1 km2,"3,928/sq mi","1,517/km2",42°29′34″N 83°01′30″W﻿ / ﻿42.4929°N 83.0250°W,"https://en.wikipedia.org//wiki/Warren,_Michigan",627 ft (191 m),UTC-5 (Eastern (EST))
203,203,Hampton,Virginia,134313,137436,−2.27%,51.5 sq mi,133.4 km2,"2,629/sq mi","1,015/km2",37°02′53″N 76°17′50″W﻿ / ﻿37.0480°N 76.2971°W,"https://en.wikipedia.org//wiki/Hampton,_Virginia",10 ft (3 m),UTC-5 (EST)
204,204,Gainesville,Florida,133857,124354,+7.64%,62.3 sq mi,161.4 km2,"2,112/sq mi",815/km2,29°40′44″N 82°20′46″W﻿ / ﻿29.6788°N 82.3461°W,"https://en.wikipedia.org//wiki/Gainesville,_Florida",151 ft (54 m),UTC−5 (EST)
205,205,Visalia,California,133800,124442,+7.52%,37.5 sq mi,97.1 km2,"3,495/sq mi","1,349/km2",36°19′38″N 119°19′44″W﻿ / ﻿36.3273°N 119.3289°W,"https://en.wikipedia.org//wiki/Visalia,_California",331 ft (101 m),UTC-8 (PST)
206,206,Coral Springs,Florida,133507,121096,+10.25%,23.8 sq mi,61.6 km2,"5,465/sq mi","2,110/km2",26°16′15″N 80°15′33″W﻿ / ﻿26.2707°N 80.2593°W,"https://en.wikipedia.org//wiki/Coral_Springs,_Florida",13 ft (3 m),UTC-5 (EST)
207,207,Columbia,South Carolina,133451,129272,+3.23%,133.5 sq mi,345.8 km2,"1,006/sq mi",388/km2,34°01′45″N 80°53′53″W﻿ / ﻿34.0291°N 80.8980°W,"https://en.wikipedia.org//wiki/Columbia,_South_Carolina",292 ft (89 m),UTC-5 (Eastern (EST))
208,208,Cedar Rapids,Iowa,133174,126326,+5.42%,70.8 sq mi,183.4 km2,"1,852/sq mi",715/km2,41°58′01″N 91°40′40″W﻿ / ﻿41.9670°N 91.6778°W,"https://en.wikipedia.org//wiki/Cedar_Rapids,_Iowa",810 ft (247 m),UTC-6 (CST)
209,209,Sterling Heights,Michigan,132964,129699,+2.52%,36.5 sq mi,94.5 km2,"3,628/sq mi","1,401/km2",42°34′52″N 83°01′49″W﻿ / ﻿42.5812°N 83.0303°W,"https://en.wikipedia.org//wiki/Sterling_Heights,_Michigan",614 ft (187 m),UTC−5 (Eastern (EST))
210,210,New Haven,Connecticut,130418,129779,+0.49%,18.7 sq mi,48.4 km2,"6,948/sq mi","2,683/km2",41°18′39″N 72°55′30″W﻿ / ﻿41.3108°N 72.9250°W,"https://en.wikipedia.org//wiki/New_Haven,_Connecticut",59 ft (18 m),UTC−5 (Eastern)
211,211,Stamford,Connecticut,129775,122643,+5.82%,37.6 sq mi,97.4 km2,"3,434/sq mi","1,326/km2",41°04′48″N 73°32′46″W﻿ / ﻿41.0799°N 73.5460°W,"https://en.wikipedia.org//wiki/Stamford,_Connecticut",23 ft (7 m),UTC-5 (Eastern)
212,212,Concord,California,129688,122067,+6.24%,30.5 sq mi,79.0 km2,"4,221/sq mi","1,630/km2",37°58′20″N 122°00′06″W﻿ / ﻿37.9722°N 122.0016°W,"https://en.wikipedia.org//wiki/Concord,_California",75 ft (23 m),UTC−8 (Pacific)
213,213,Kent,Washington,129618,92411,+40.26%,33.7 sq mi,87.3 km2,"3,784/sq mi","1,461/km2",47°23′17″N 122°12′46″W﻿ / ﻿47.3880°N 122.2127°W,"https://en.wikipedia.org//wiki/Kent,_Washington",43-500 ft (13-152 m),UTC-8 (PST)
214,214,Santa Clara,California,129488,116468,+11.18%,18.4 sq mi,47.7 km2,"6,845/sq mi","2,643/km2",37°21′53″N 121°58′04″W﻿ / ﻿37.3646°N 121.9679°W,"https://en.wikipedia.org//wiki/Santa_Clara,_California",72 ft (22 m),UTC−8 (Pacific)
215,215,Elizabeth,New Jersey,128885,124969,+3.13%,12.3 sq mi,31.9 km2,"10,459/sq mi","4,038/km2",40°39′59″N 74°11′37″W﻿ / ﻿40.6664°N 74.1935°W,"https://en.wikipedia.org//wiki/Elizabeth,_New_Jersey",16 ft (5 m),UTC−05:00 (Eastern (EST))
216,216,Round Rock,Texas,128739,99887,+28.88%,35.6 sq mi,92.2 km2,"3,396/sq mi","1,311/km2",30°31′31″N 97°39′58″W﻿ / ﻿30.5252°N 97.6660°W,"https://en.wikipedia.org//wiki/Round_Rock,_Texas",735 ft (224 m),UTC−6 (Central (CST))
217,217,Thousand Oaks,California,127690,126683,+0.79%,55.2 sq mi,143.0 km2,"2,335/sq mi",902/km2,34°11′36″N 118°52′27″W﻿ / ﻿34.1933°N 118.8742°W,"https://en.wikipedia.org//wiki/Thousand_Oaks,_California",886 ft (270 m),UTC−8 (Pacific)
218,218,Lafayette,Louisiana,126143,120623,+4.58%,53.8 sq mi,139.3 km2,"2,372/sq mi",916/km2,30°12′27″N 92°01′43″W﻿ / ﻿30.2074°N 92.0285°W,"https://en.wikipedia.org//wiki/Lafayette,_Louisiana",36 ft (11 m),UTC-6 (CST)
219,219,Athens,Georgia,125964,115452,+9.11%,116.4 sq mi,301.5 km2,"1,060/sq mi",410/km2,33°56′59″N 83°22′12″W﻿ / ﻿33.9496°N 83.3701°W,"https://en.wikipedia.org//wiki/Athens,_Georgia",636 ft (194 m),UTC−5 (EST)
220,220,Topeka,Kansas,125904,127473,−1.23%,61.5 sq mi,159.3 km2,"2,062/sq mi",796/km2,39°02′05″N 95°41′46″W﻿ / ﻿39.0347°N 95.6962°W,"https://en.wikipedia.org//wiki/Topeka,_Kansas",945 ft (288 m),UTC-6 (CST)
221,221,Simi Valley,California,125851,124237,+1.30%,41.5 sq mi,107.5 km2,"3,044/sq mi","1,175/km2",34°16′01″N 118°44′55″W﻿ / ﻿34.2669°N 118.7485°W,"https://en.wikipedia.org//wiki/Simi_Valley,_California",768 ft (234 m),UTC−8 (Pacific)
222,222,Fargo,North Dakota,124844,105549,+18.28%,49.3 sq mi,127.7 km2,"2,450/sq mi",950/km2,46°51′55″N 96°49′44″W﻿ / ﻿46.8652°N 96.8290°W,"https://en.wikipedia.org//wiki/Fargo,_North_Dakota",904 ft (274 m),UTC-6 (CST)
223,223,Norman,Oklahoma,123471,110925,+11.31%,178.8 sq mi,463.1 km2,683/sq mi,264/km2,35°14′26″N 97°20′43″W﻿ / ﻿35.2406°N 97.3453°W,"https://en.wikipedia.org//wiki/Norman,_Oklahoma","1,171 ft (357 m)",UTC−6 (Central (CST))
224,224,Columbia,Missouri,123180,108500,+13.53%,65.0 sq mi,168.3 km2,"1,856/sq mi",717/km2,38°57′06″N 92°19′43″W﻿ / ﻿38.951561°N 92.328638°W,"https://en.wikipedia.org//wiki/Columbia,_Missouri",758 ft (231 m),UTC-6 (CST)
225,225,Abilene,Texas,122999,117063,+5.07%,106.7 sq mi,276.4 km2,"1,146/sq mi",442/km2,32°27′16″N 99°44′17″W﻿ / ﻿32.4545°N 99.7381°W,"https://en.wikipedia.org//wiki/Abilene,_Texas","1,719 ft (527 m)",UTC−6 (CST)
226,226,Wilmington,North Carolina,122607,106476,+15.15%,51.6 sq mi,133.6 km2,"2,278/sq mi",880/km2,34°12′33″N 77°53′09″W﻿ / ﻿34.2092°N 77.8858°W,"https://en.wikipedia.org//wiki/Wilmington,_North_Carolina",30 ft (9 m),UTC−5 (Eastern (EST))
227,227,Hartford,Connecticut,122587,124775,−1.75%,17.4 sq mi,45.1 km2,"7,083/sq mi","2,735/km2",41°45′57″N 72°40′54″W﻿ / ﻿41.7659°N 72.6816°W,"https://en.wikipedia.org//wiki/Hartford,_Connecticut",59 ft (18 m),UTC−5 (EST)
228,228,Victorville,California,122312,115903,+5.53%,73.3 sq mi,189.8 km2,"1,668/sq mi",644/km2,34°31′40″N 117°21′13″W﻿ / ﻿34.5277°N 117.3536°W,"https://en.wikipedia.org//wiki/Victorville,_California","2,726 ft (831 m)",UTC-8 (Pacific Time Zone)
229,229,Pearland,Texas,122149,91252,+33.86%,46.3 sq mi,119.9 km2,"2,453/sq mi",947/km2,29°33′21″N 95°19′23″W﻿ / ﻿29.5558°N 95.3231°W,"https://en.wikipedia.org//wiki/Pearland,_Texas",49 ft (15 m),UTC−6 (Central (CST))
230,230,Vallejo,California,121913,115942,+5.15%,30.7 sq mi,79.5 km2,"3,951/sq mi","1,525/km2",38°06′28″N 122°15′50″W﻿ / ﻿38.1079°N 122.2640°W,"https://en.wikipedia.org//wiki/Vallejo,_California",69 ft (21 m),UTC−8 (Pacific)
231,231,Ann Arbor,Michigan,121890,113934,+6.98%,28.1 sq mi,72.8 km2,"4,298/sq mi","1,659/km2",42°16′34″N 83°43′51″W﻿ / ﻿42.2761°N 83.7309°W,"https://en.wikipedia.org//wiki/Ann_Arbor,_Michigan",840 ft (256 m),UTC-5 (EST)
232,232,Berkeley,California,121643,112580,+8.05%,10.5 sq mi,27.2 km2,"11,547/sq mi","4,458/km2",37°52′01″N 122°17′57″W﻿ / ﻿37.8670°N 122.2991°W,"https://en.wikipedia.org//wiki/Berkeley,_California",171 ft (52 m),UTC−8 (Pacific)
233,233,Allentown,Pennsylvania,121433,118032,+2.88%,17.5 sq mi,45.3 km2,"6,882/sq mi","2,657/km2",40°35′37″N 75°28′42″W﻿ / ﻿40.5936°N 75.4784°W,"https://en.wikipedia.org//wiki/Allentown,_Pennsylvania",338 ft (103 m),UTC−5 (EST)
234,234,Richardson,Texas,120981,99223,+21.93%,28.6 sq mi,74.1 km2,"3,963/sq mi","1,530/km2",32°58′20″N 96°42′29″W﻿ / ﻿32.9723°N 96.7081°W,"https://en.wikipedia.org//wiki/Richardson,_Texas",630 ft (192 m),UTC−6 (CST)
235,235,Odessa,Texas,120568,99940,+20.64%,45.2 sq mi,117.1 km2,"2,608/sq mi","1,007/km2",31°53′02″N 102°20′28″W﻿ / ﻿31.8838°N 102.3411°W,"https://en.wikipedia.org//wiki/Odessa,_Texas","2,900 ft (884 m)",UTC−6 (CST)
236,236,Arvada,Colorado,120492,106433,+13.21%,38.6 sq mi,100.0 km2,"3,043/sq mi","1,175/km2",39°50′01″N 105°09′01″W﻿ / ﻿39.8337°N 105.1503°W,"https://en.wikipedia.org//wiki/Arvada,_Colorado","5,344 ft (1,662 m)",UTC−7 (MST)
237,237,Cambridge,Massachusetts,118977,105162,+13.14%,6.4 sq mi,16.6 km2,"17,289/sq mi","6,675/km2",42°22′34″N 71°07′07″W﻿ / ﻿42.3760°N 71.1187°W,"https://en.wikipedia.org//wiki/Cambridge,_Massachusetts",40 ft (12 m),UTC−5 (Eastern)
238,238,Sugar Land,Texas,118600,91252,+29.97%,34.0 sq mi,88.1 km2,"3,488/sq mi","1,347/km2",29°35′58″N 95°36′51″W﻿ / ﻿29.5994°N 95.6142°W,"https://en.wikipedia.org//wiki/Sugar_Land,_Texas",100 ft (30 m),UTC−6 (Central (CST))
239,239,Beaumont,Texas,118428,118296,+0.11%,82.1 sq mi,212.6 km2,"1,441/sq mi",556/km2,30°05′06″N 94°08′43″W﻿ / ﻿30.0849°N 94.1453°W,"https://en.wikipedia.org//wiki/Beaumont,_Texas",16 ft (5 m),UTC−6 (CST)
240,240,Lansing,Michigan,118427,114297,+3.61%,39.1 sq mi,101.3 km2,"2,967/sq mi","1,146/km2",42°42′51″N 84°33′33″W﻿ / ﻿42.7143°N 84.5593°W,"https://en.wikipedia.org//wiki/Lansing,_Michigan",860 ft (262 m),UTC-5 (EST)
241,241,Evansville,Indiana,117963,117429,+0.45%,47.3 sq mi,122.5 km2,"2,526/sq mi",975/km2,37°59′16″N 87°32′05″W﻿ / ﻿37.9877°N 87.5347°W,"https://en.wikipedia.org//wiki/Evansville,_Indiana",387 ft (118 m),UTC-6 (CST)
242,242,Rochester,Minnesota,116961,106769,+9.55%,54.6 sq mi,141.4 km2,"2,088/sq mi",806/km2,44°00′55″N 92°28′38″W﻿ / ﻿44.0154°N 92.4772°W,"https://en.wikipedia.org//wiki/Rochester,_Minnesota","1,030 ft (401.4 m)",UTC−6 (CST)
243,243,Independence,Missouri,116925,116830,+0.08%,77.8 sq mi,201.5 km2,"1,504/sq mi",581/km2,39°05′08″N 94°21′08″W﻿ / ﻿39.0855°N 94.3521°W,"https://en.wikipedia.org//wiki/Independence,_Missouri","1,033 ft (315 m)",UTC−6 (Central (CST))
244,244,Fairfield,California,116884,105321,+10.98%,40.9 sq mi,105.9 km2,"2,806/sq mi","1,083/km2",38°15′33″N 122°01′56″W﻿ / ﻿38.2593°N 122.0321°W,"https://en.wikipedia.org//wiki/Fairfield,_California",13 ft (4 m),UTC−8 (Pacific)
245,245,Provo,Utah,116702,112488,+3.75%,41.7 sq mi,108.0 km2,"2,803/sq mi","1,082/km2",40°14′43″N 111°38′41″W﻿ / ﻿40.2453°N 111.6448°W,"https://en.wikipedia.org//wiki/Provo,_Utah","4,551 ft (1,387 m)",UTC−7 (Mountain (MST))
246,246,Clearwater,Florida,116478,107685,+8.17%,25.9 sq mi,67.1 km2,"4,415/sq mi","1,705/km2",27°58′44″N 82°46′00″W﻿ / ﻿27.9789°N 82.7666°W,"https://en.wikipedia.org//wiki/Clearwater,_Florida",30 ft (9 m),UTC-5 (Eastern (EST))
247,247,College Station,Texas,116218,93857,+23.82%,51.0 sq mi,132.1 km2,"2,199/sq mi",849/km2,30°35′07″N 96°17′47″W﻿ / ﻿30.5852°N 96.2964°W,"https://en.wikipedia.org//wiki/College_Station,_Texas",338 ft (103 m),UTC-6 (CST)
248,248,West Jordan,Utah,116046,103712,+11.89%,32.3 sq mi,83.7 km2,"3,520/sq mi","1,360/km2",40°36′09″N 112°00′03″W﻿ / ﻿40.6024°N 112.0008°W,"https://en.wikipedia.org//wiki/West_Jordan,_Utah","4,373 ft (1,333 m)",UTC−7 (Mountain (MST))
249,249,Carlsbad,California,115877,105328,+10.02%,37.7 sq mi,97.6 km2,"3,023/sq mi","1,167/km2",33°07′26″N 117°16′58″W﻿ / ﻿33.1239°N 117.2828°W,"https://en.wikipedia.org//wiki/Carlsbad,_California",52 ft (16 m),UTC−8 (Pacific)
250,250,El Monte,California,115586,113475,+1.86%,9.6 sq mi,24.9 km2,"12,063/sq mi","4,658/km2",34°04′29″N 118°01′45″W﻿ / ﻿34.0746°N 118.0291°W,"https://en.wikipedia.org//wiki/El_Monte,_California",299 ft (91 m),UTC−8 (Pacific)
251,251,Murrieta,California,114985,103466,+11.13%,33.6 sq mi,87.0 km2,"3,324/sq mi","1,283/km2",33°34′20″N 117°11′25″W﻿ / ﻿33.5721°N 117.1904°W,"https://en.wikipedia.org//wiki/Murrieta,_California","1,175 ft (334 m)",UTC−8 (Pacific)
252,252,Temecula,California,114742,100097,+14.63%,37.3 sq mi,96.6 km2,"3,031/sq mi","1,170/km2",33°29′35″N 117°07′54″W﻿ / ﻿33.4931°N 117.1317°W,"https://en.wikipedia.org//wiki/Temecula,_California","1,017 ft (310 m)",UTC−8 (Pacific)
253,253,Springfield,Illinois,114694,116250,−1.34%,60.1 sq mi,155.7 km2,"1,925/sq mi",743/km2,39°47′28″N 89°38′41″W﻿ / ﻿39.7911°N 89.6446°W,"https://en.wikipedia.org//wiki/Springfield,_Illinois",558 ft (170 m),UTC−6 (CST)
254,254,Palm Bay,Florida,114194,103190,+10.66%,65.7 sq mi,170.2 km2,"1,676/sq mi",647/km2,27°59′08″N 80°39′45″W﻿ / ﻿27.9856°N 80.6626°W,"https://en.wikipedia.org//wiki/Palm_Bay,_Florida",19 ft (5 m),UTC−5 (Eastern (EST))
255,255,Costa Mesa,California,113615,109960,+3.32%,15.7 sq mi,40.7 km2,"7,186/sq mi","2,775/km2",33°39′57″N 117°54′44″W﻿ / ﻿33.6659°N 117.9123°W,"https://en.wikipedia.org//wiki/Costa_Mesa,_California",98 ft (30 m),UTC-8 (PST)
256,256,Westminster,Colorado,113479,106114,+6.94%,31.7 sq mi,82.1 km2,"3,592/sq mi","1,387/km2",39°52′56″N 105°03′52″W﻿ / ﻿39.8822°N 105.0644°W,"https://en.wikipedia.org//wiki/Westminster,_Colorado","5,384 ft (1,641 m)",UTC−7 (MST)
257,257,North Charleston,South Carolina,113237,97471,+16.18%,73.7 sq mi,190.9 km2,"1,483/sq mi",573/km2,32°55′04″N 80°03′54″W﻿ / ﻿32.9178°N 80.0650°W,"https://en.wikipedia.org//wiki/North_Charleston,_South_Carolina",25 ft (6 m),UTC−5 (EST)
258,258,Miami Gardens,Florida,113069,107167,+5.51%,18.2 sq mi,47.1 km2,"6,212/sq mi","2,398/km2",25°56′56″N 80°14′37″W﻿ / ﻿25.9489°N 80.2436°W,"https://en.wikipedia.org//wiki/Miami_Gardens,_Florida",7 ft (2 m),UTC-5 (EST)
259,259,Manchester,New Hampshire,112525,109565,+2.70%,33.1 sq mi,85.7 km2,"3,339/sq mi","1,289/km2",42°59′06″N 71°26′39″W﻿ / ﻿42.9849°N 71.4441°W,"https://en.wikipedia.org//wiki/Manchester,_New_Hampshire",210 ft (64 m),UTC-5 (Eastern)
260,260,High Point,North Carolina,112316,104371,+7.61%,55.2 sq mi,143.0 km2,"2,015/sq mi",778/km2,35°59′24″N 79°59′26″W﻿ / ﻿35.9900°N 79.9905°W,"https://en.wikipedia.org//wiki/High_Point,_North_Carolina",938 ft (286 m),UTC−5 (EST)
261,261,Downey,California,112269,111772,+0.44%,12.4 sq mi,32.1 km2,"9,134/sq mi","3,527/km2",33°56′18″N 118°07′51″W﻿ / ﻿33.9382°N 118.1309°W,"https://en.wikipedia.org//wiki/Downey,_California",118 ft (36 m),UTC-8 (PST)
262,262,Clovis,California,112022,95631,+17.14%,24.2 sq mi,62.7 km2,"4,404/sq mi","1,700/km2",36°49′42″N 119°41′06″W﻿ / ﻿36.8282°N 119.6849°W,"https://en.wikipedia.org//wiki/Clovis,_California",361 ft (110 m),UTC−8 (Pacific)
263,263,Pompano Beach,Florida,111954,99845,+12.13%,24.0 sq mi,62.2 km2,"4,558/sq mi","1,760/km2",26°14′30″N 80°08′02″W﻿ / ﻿26.2416°N 80.1339°W,"https://en.wikipedia.org//wiki/Pompano_Beach,_Florida",13 ft (4 m),UTC−5 (EST)
264,264,Pueblo,Colorado,111750,106595,+4.84%,53.6 sq mi,138.8 km2,"2,058/sq mi",795/km2,38°16′12″N 104°36′44″W﻿ / ﻿38.2699°N 104.6123°W,"https://en.wikipedia.org//wiki/Pueblo,_Colorado","4,692 ft (1,430 m)",UTC−7 (MST)
265,265,Elgin,Illinois,111683,108188,+3.23%,37.4 sq mi,96.9 km2,"2,998/sq mi","1,158/km2",42°02′23″N 88°19′18″W﻿ / ﻿42.0396°N 88.3217°W,"https://en.wikipedia.org//wiki/Elgin,_Illinois",817 ft (249 m),UTC−6 (Central)
266,266,Lowell,Massachusetts,111670,106519,+4.84%,13.6 sq mi,35.2 km2,"8,129/sq mi","3,139/km2",42°38′20″N 71°19′16″W﻿ / ﻿42.6390°N 71.3211°W,"https://en.wikipedia.org//wiki/Lowell,_Massachusetts",102 ft (31 m),UTC−5 (Eastern)
267,267,Antioch,California,111535,102372,+8.95%,29.4 sq mi,76.1 km2,"3,772/sq mi","1,456/km2",37°58′45″N 121°47′46″W﻿ / ﻿37.9791°N 121.7962°W,"https://en.wikipedia.org//wiki/Antioch,_California",43 ft (13 m),UTC−8 (Pacific)
268,268,West Palm Beach,Florida,111398,99919,+11.49%,55.1 sq mi,142.7 km2,"1,963/sq mi",758/km2,26°44′47″N 80°07′30″W﻿ / ﻿26.7464°N 80.1251°W,"https://en.wikipedia.org//wiki/West_Palm_Beach,_Florida",13 ft (6.4 m),UTC−5 (EST)
269,269,Peoria,Illinois,111388,115007,−3.15%,48.2 sq mi,124.8 km2,"2,371/sq mi",915/km2,40°45′05″N 89°37′03″W﻿ / ﻿40.7515°N 89.6174°W,"https://en.wikipedia.org//wiki/Peoria,_Illinois",509 ft (155 m),UTC−6 (CST)
270,270,Everett,Washington,111262,103019,+8.00%,33.3 sq mi,86.2 km2,"3,275/sq mi","1,264/km2",47°57′24″N 122°11′29″W﻿ / ﻿47.9566°N 122.1914°W,"https://en.wikipedia.org//wiki/Everett,_Washington",0,UTC−8 (PST)
271,271,Ventura,California,111128,106433,+4.41%,21.8 sq mi,56.5 km2,"5,027/sq mi","1,941/km2",34°16′04″N 119°15′15″W﻿ / ﻿34.2678°N 119.2542°W,"https://en.wikipedia.org//wiki/Ventura,_California",36 ft (11 m),UTC−8 (Pacific)
272,272,Centennial,Colorado,110831,100377,+10.41%,29.5 sq mi,76.4 km2,"3,727/sq mi","1,439/km2",39°35′26″N 104°52′09″W﻿ / ﻿39.5906°N 104.8691°W,"https://en.wikipedia.org//wiki/Centennial,_Colorado","5,830 ft (1,777 m)",UTC-7 (MST)
273,273,Lakeland,Florida,110516,97422,+13.44%,65.9 sq mi,170.7 km2,"1,615/sq mi",624/km2,28°03′20″N 81°57′18″W﻿ / ﻿28.0555°N 81.9549°W,"https://en.wikipedia.org//wiki/Lakeland,_Florida",197 ft (60 m),UTC-5 (EST)
274,274,Gresham,Oregon,110158,105594,+4.32%,23.3 sq mi,60.3 km2,"4,786/sq mi","1,848/km2",45°30′08″N 122°26′30″W﻿ / ﻿45.5023°N 122.4416°W,"https://en.wikipedia.org//wiki/Gresham,_Oregon",325[2] ft (91.7 m),UTC−8 (Pacific)
275,275,Richmond,California,110146,103701,+6.21%,30.1 sq mi,78.0 km2,"3,648/sq mi","1,409/km2",37°57′08″N 122°21′38″W﻿ / ﻿37.9523°N 122.3606°W,"https://en.wikipedia.org//wiki/Richmond,_California",46 ft (14 m),UTC−8 (Pacific)
276,276,Billings,Montana,109550,104170,+5.16%,43.7 sq mi,113.2 km2,"2,525/sq mi",975/km2,45°47′19″N 108°33′00″W﻿ / ﻿45.7885°N 108.5499°W,"https://en.wikipedia.org//wiki/Billings,_Montana","3,123 ft (952 m)",UTC−7 (Mountain)
277,277,Inglewood,California,109419,109673,−0.23%,9.1 sq mi,23.6 km2,"12,160/sq mi","4,700/km2",33°57′22″N 118°20′39″W﻿ / ﻿33.9561°N 118.3443°W,"https://en.wikipedia.org//wiki/Inglewood,_California",131 ft (40 m),UTC−8 (Pacific)
278,278,Broken Arrow,Oklahoma,109171,98850,+10.44%,61.7 sq mi,159.8 km2,"1,741/sq mi",672/km2,36°02′11″N 95°46′52″W﻿ / ﻿36.0365°N 95.7810°W,"https://en.wikipedia.org//wiki/Broken_Arrow,_Oklahoma",755 ft (230 m),UTC−6 (CST)
279,279,Sandy Springs,Georgia,108797,93853,+15.92%,37.7 sq mi,97.6 km2,"2,804/sq mi","1,083/km2",33°55′53″N 84°22′07″W﻿ / ﻿33.9315°N 84.3687°W,"https://en.wikipedia.org//wiki/Sandy_Springs,_Georgia","1,093 ft (333 m)",UTC−5 (EST)
280,280,Jurupa Valley,California,108393,0,[ab],42.9 sq mi,111.1 km2,"2,414/sq mi",932/km2,34°00′09″N 117°28′03″W﻿ / ﻿34.0026°N 117.4676°W,"https://en.wikipedia.org//wiki/Jurupa_Valley,_California",0,UTC-8 (PST)
281,281,Hillsboro,Oregon,108389,91611,+18.31%,25.0 sq mi,64.7 km2,"4,207/sq mi","1,624/km2",45°31′41″N 122°56′09″W﻿ / ﻿45.5280°N 122.9357°W,"https://en.wikipedia.org//wiki/Hillsboro,_Oregon",194 ft (60 m),UTC−8 (PST)
282,282,Waterbury,Connecticut,108093,110366,−2.06%,28.5 sq mi,73.8 km2,"3,799/sq mi","1,467/km2",41°33′31″N 73°02′12″W﻿ / ﻿41.5585°N 73.0367°W,"https://en.wikipedia.org//wiki/Waterbury,_Connecticut",270 ft (80 m),UTC−5 (Eastern)
283,283,Santa Maria,California,107408,99553,+7.89%,22.8 sq mi,59.1 km2,"4,662/sq mi","1,800/km2",34°56′00″N 120°26′38″W﻿ / ﻿34.9332°N 120.4438°W,"https://en.wikipedia.org//wiki/Santa_Maria,_California",217 ft (66 m),UTC−8 (Pacific)
